
BUSCA - HORARIO 

gela - 2021-11-18T22:56:08.884581400Z
gel - 2021-11-19T00:26:57.693036400Z
gel - 2021-11-19T00:29:16.812331900Z
gela - 2021-11-19T00:34:28.040794400Z
gel - 2021-11-19T00:35:11.049725Z
g - 2021-11-19T00:38:49.227823400Z
g - 2021-11-19T00:43:25.592429900Z
a - 2021-11-19T00:44:14.136085300Z
g - 2021-11-19T00:45:59.568715800Z
g - 2021-11-19T00:46:44.808892300Z
a - 2021-11-19T00:47:57.147877100Z
g - 2021-11-19T00:56:04.692297900Z
g - 2021-11-19T00:58:00.146424300Z
g - 2021-11-19T00:59:14.211931200Z
a - 2021-11-19T01:03:17.481736200Z
g - 2021-11-19T01:06:03.263538200Z
g - 2021-11-19T01:07:37.512109800Z
g - 2021-11-19T01:08:56.540256500Z
g - 2021-11-19T01:11:07.577937Z
g - 2021-11-19T01:11:39.772269400Z
g - 2021-11-19T01:13:10.716880100Z
g - 2021-11-19T01:14:45.621553200Z
g - 2021-11-19T11:08:33.165236Z
gel - 2021-11-19T11:14:39.852997Z
brast - 2021-11-19T11:14:52.017761400Z
bras - 2021-11-19T11:23:08.154163700Z
brastemp - 2021-11-19T11:28:49.564914700Z
brast - 2021-11-19T11:31:37.291354300Z
brast - 2021-11-19T11:44:44.951839Z
brast - 2021-11-19T11:45:52.146683400Z
gela - 2021-11-19T11:49:16.279987900Z
brast - 2021-11-19T12:05:17.986524900Z
gela - 2021-11-19T12:07:12.386076100Z
brast - 2021-11-19T12:07:31.537465100Z
